"","sysrev_id","analysis_id","adriencomte.pro","deviveytia","title","abstract"
"97",95440369,2157,TRUE,FALSE,"Exploring coastal development scenarios for Zanzibar: A local microcosm inspired Delphi survey","Tropical coastal systems are undergoing rapid change, which impacts people and natural resources, and that requires innovative governance processes to be turned into an opportunity for sustainable management. Focusing on Unguja, the main island of the Zanzibar archipelago in Tanzania, this study explores the current state of the island's coastal systems, as well as probable and desirable scenarios for the future. Based on a two round iterative Delphi survey aimed at coastal science \& management experts, research priorities are identified, and explorative scenarios are proposed. The findings indicate that demographic pressure is expected to have a high impact, and that competing coastal land use claims balancing between tourism infrastructure development and local fisheries-related land are to be expected. Sustainable alternative livelihood strategies are however expected to be part of the solution, for a resilient coastal system, if inclusive governance and management strategies are put in place, e.g. regarding access to coastal resources. This study combines the predictive and normative components of explorative scenarios and its approach and findings can be inspiring in the whole Western Indian Ocean region, beyond the Zanzibar case study."
"103",95440375,135102,FALSE,TRUE,"Impact of Tropical Cyclone Winston on women mud crab fishers in Fiji","Communities dependent on natural resources for food and livelihoods are extremely vulnerable to climate change and its impacts. Tropical cyclones are a frequent occurrence in the Pacific and can have devastating impacts on coastal communities, particularly in remote or isolated areas. However, most post-cyclone studies focus on damages and losses to infrastructure and services, and do not quantify the impact on fishers or community fisheries. We conducted a study to assess the social and economic effects of Category 5 Tropical Cyclone Winston on mud crab fishers in Bua Province, Fiji. The study methodology was one-on-one surveys with mud crab fishers, mostly women, in 16 villages who had previously participated in a 2015 value chain analysis survey. Post-cyclone, 52\% of the fishers had stopped harvesting crabs because many were focussed on repairing their homes and had difficulties accessing collection sites and markets. Fishers that continued reported less frequent collection, and fewer and smaller crabs. To obtain income for house repairs, 65\% of the fishers still harvesting sold the crabs to local traders, rather than consuming them. Understanding mud crab fishers' vulnerability to natural disasters, the barriers to adaptation and how their livelihoods are affected is key to effective mitigation and adaptation."
"107",95440379,12646,TRUE,FALSE,"A comparative study between mainland and islander small-scale fishermen's adaptation towards climate change","The existing literature have demonstrated a considerable amount of existing studies that merely interest on scientific perspectives by examining the physical environmental changes rather than conducting social-based studies that allow for the comparison of adaptation ability between mainland and island small-scale fishermen. Therefore, the current research attempts to fill this gap by investigating the adaptation level of mainland and island small-scale fishermen towards climate changes for the purpose of further identifying any significant differences regarding their adaptation aspects. The primary aim of the current research is to conduct a comparative study with the purpose of assessing the environmental change adaptation ability between the mainland and the islander small-scale fishermen. In the context of the current research, a quantitative approach was employed by selecting a total of 600 samples through several levels of cluster sampling. The instrument for the study was developed based on the 16 adaptation variables that were suggested within the adaptation framework proposed by the International Union for Conservation of Nature and Natural Resources. The data were analysed using SPSS, whereby to achieve the study's main objective, inferential analysis which refers to the independent t test was performed to examine any possible significant difference that might exist. In regard to this matter, various significant differences between the islander and the mainland fishermen managed to be detected in 10 adaptation aspects out of the 16 adaptation variables which include the capacity to adapt to change (monetary and emotional adaptability); the level of interest in adapting to change; the ability to plan, learn, and reorganize; and attachment to occupation. Accordingly, a number of recommendations were discussed at the end of this study which is hoped to assist the involved and relevant parties in arranging better adjustment approaches for small-scale fishermen in Malaysia."
"112",95440384,6951,TRUE,FALSE,"Estimating costs of adaptation to climate change","In 2009 the World Bank launched the Economics of Adaptation to Climate Change (EACC) study to provide up-to-date and consistent estimates of adaptation costs for developing countries. The EACC study addresses many of the shortcomings found in the adaptation cost literature. First, it defines `adaptation costs' as those additional costs of development due to climate change, thereby avoiding confounding the costs of closing the development deficit and the implicit adaptation deficit. Second, the study covers eight major sectors: infrastructure, coastal zones, water supply, agriculture, fisheries, forests and ecosystems, human health, and extreme weather events. Third, it employs common population and GDP growth trajectories across sectors and uses two climate scenarios to capture the full spread of model predictions. Finally, the EACC study uses an innovative methodology for aggregating costs at the sector level within a country, and across countries. Under these assumptions, the global price tag for the developing world of adapting to an approximately 2 degrees C warmer world by 2050 is US\$70-100 billion per year for 2010-2050."
"125",95440397,232811,TRUE,FALSE,"Sustainable Livelihood for Displaced Rohingyas and Their Resilience at Bhashan Char in Bangladesh","The livelihood sustainability of the Rohingya refugees relocated in Bhashan Char, Bangladesh, has been questioned by various international stakeholders due to the remoteness and perceived vulnerabilities of the island. The Bangladesh government, a few international organizations, and some non-government organizations are working on developing livelihood opportunities in there. But there is scarce study about the livelihood opportunities and challenges of the Rohingyas living there. This study explores the vulnerabilities and livelihood opportunities of Rohingyas in Bhashan Char so as to help increase their resilience. The vulnerabilities include natural, geographical, and climatic shocks and stresses (e.g., cyclone, floods, storm surge, sea-level rise, geographical position). However, there are ample opportunities for their livelihood development, despite some challenges which can be overcome with concerted efforts. The opportunities include intensification and extensification of livelihood activities, such as modern agriculture, fish farming, livestock rearing, small business, handicraft, fishing net mending, crab fattening, biofloc aquaculture, and fish cage culture, but turning these opportunities into reality requires sufficient investment and internationally positive attitude. Better shelter, better disaster preparedness, cultural practices, education, and skill development can increase their capacity to bounce back, absorb shocks, and make them more resilient. National and international humanitarian organizations should plan to enhance the resilience of the Rohingya communities living in Bhashan Char and the island itself so that they can sustain in the long run, even after their anticipated repatriation to Myanmar."
"126",95440398,118584,TRUE,FALSE,"Tourism-Based Alternative Livelihoods for Small Island Communities Transitioning towards a Blue Economy","Tourism development has been promoted as an alternative livelihood to reduce the dependence of small island communities on declining marine resources. It is often central to emerging agendas around marine planning and the blue economy. However, relatively little is known about how communities perceive tourism development as an alternative and potentially sustainable livelihood in their area and its implications. This qualitative study tracks a governance system in transition and analyzes the factors perceived by stakeholders to be driving and hindering the adoption of tourism-based livelihoods on small islands in UNESCO's Taka Bonerate Kepulauan Selayar Biosphere Reserve (Indonesia). The findings indicate that, despite a series of tourism-enhancing investments and initiatives and the positive attitudes of local communities towards it, tourism is not a direct route towards sustainability for small island communities. The benefits of tourism are perceived to be unequally distributed. The lack of education and skills limits participation in new job opportunities, and the incentives to continue destructive fishing inhibits livelihood transition to tourism. The article concludes that tourism cannot be assumed to generate simultaneous benefits for conservation and development without more equitable benefit sharing, the meeting of basic needs in communities, and addressing the drivers of unsustainable livelihoods."
"129",95440402,250151,TRUE,FALSE,"Rehabilitating coastal agriculture and aquaculture after inundation events: Spatial analysis of livelihood recovery in post-tsunami Aceh, Indonesia","This paper presents GIS time-series land-use analysis of satellite images to quantify the recovery of rice cultivation and aquaculture following the 2004 Indian Ocean tsunami in coastal communities in Aceh, Indonesia. We supplement this with qualitative data to illustrate the post-disaster challenges faced by residents, and the extent to which coastal communities have adapted to post-tsunami realities. Our analysis shows that the rehabilitation of rice cultivation and aquaculture in areas inundated by the tsunami has been limited by extensive degradation of land, diversion of labor by tsunami mortality and transition to alternative livelihoods, and re-purposing of rice fields for residential use during the reconstruction phase. This is especially prominent in areas where subsistence activities are not the primary source of livelihood. The Aceh case study shows that social, economic, and environmental factors can be stronger determinants of how coastal livelihoods rebound and change following destructive inundation events than livelihood rehabilitation aid. Additionally, our case study suggests the human impact of coastal hazards can be felt outside the physical extent of inundation. (C) 2017 The Authors. Published by Elsevier Ltd."
"130",95440403,10908,TRUE,FALSE,"European policies and legislation targeting ocean acidification in european waters - Current state","Ocean acidification (OA) is a global problem with profoundly negative environmental, social and economic consequences. From a governance perspective, there is a need to ensure a coordinated effort to directly address it. This study reviews 90 legislative documents from 17 countries from the European Economic Area (EEA) and the UK that primarily border the sea. The primary finding from this study is that the European national policies and legislation addressing OA is at best uncoordinated. Although OA is acknowledged at the higher levels of governance, its status as an environmental challenge is greatly diluted at the European Union Member State level. As a notable exception within the EEA, Norway seems to have a proactive approach towards legislative frameworks and research aimed towards further understanding OA. On the other hand, there was a complete lack of, or inadequate reporting in the Marine Strategy Framework Directive by the majority of the EU Member States, with the exception of Italy and the Netherlands. We argue that the problems associated with OA and the solutions needed to address it are unique and cannot be bundled together with traditional climate change responses and measures. Therefore, European OA-related policy and legislation must reflect this and tailor their actions to mitigate OA to safeguard marine ecosystems and societies. A stronger and more coordinated approach is needed to build environmental, economic and social resilience of the observed and anticipated changes to the coastal marine systems."
"133",95440406,13438,TRUE,FALSE,"How climate compatible are livelihood adaptation strategies and development programs in rural Indonesia?","Achieving climate compatible development (CCD) is a necessity in developing countries, but there are few examples of requisite planning processes, or manifestations of CCD. This paper presents a multi-stakeholder, participatory planning process designed to screen and prioritise rural livelihood adaptation strategies against nine CCD criteria. The process also integrated three principles of adaptation pathways: interventions should be (1) `no regrets' and maintain reversibility to avoid mal-adaptation; (2) address both proximate and underlying systemic drivers of community vulnerability; and (3) linked across spatial scales and jurisdictional levels to promote coordination. Using examples of two rural sub-districts in Indonesia, we demonstrate the process and resulting CCD strategies. Priority strategies varied between the sub-districts but all reflected standard development interventions: water management, intensification or diversification of agriculture and aquaculture, education, health, food security and skills-building for communities. Strategies delivered co-benefits for human development and ecosystem services and hence adaptive capacity, but greenhouse mitigation co-benefits were less significant. Actions to deliver the strategies' objectives were screened for reversibility, and a minority were potentially maladaptive (i.e. path dependent, disproportionately burdening the most vulnerable, reducing incentives to adapt, or increasing greenhouse gas emissions) yet highly feasible. These related to infrastructure, which paradoxically is necessary to deliver `soft' adaptation benefits (i.e. road access to health services). Only a small minority of transformative strategies addressed the systemic (i.e. institutional and political) drivers of vulnerability. Strategies were well-matched by development programs, suggesting that current interventions mirror CCD. However, development programs tackled fewer systemic drivers, were poorly coordinated and had a higher risk of mal-adaptation. We conclude that the approach is effective for screening and prioritising no regrets CCD, but more extensive learning processes are necessary to build decision-makers' capacity to tackle systemic drivers, and to scrutinise potentially mal-adaptive infrastructural investments. (C) 2015 The Authors. Published by Elsevier B.V."
"139",95440412,10556,TRUE,FALSE,"Climate Change Adaptation and Extreme Weather in the Small-Scale Fisheries of Dominica","Globally, changes in the intensity, severity and frequency of storms threaten potentially catastrophic impacts on fisheries. These threats present a significant challenge to Small Island Developing States because of the important contribution of fisheries to multiple aspects of coastal communities' wellbeing, including food security, coastal economies, and social and cultural identities. Supporting the adaptive response of fisheries to storm events is therefore a priority, yet efforts to enhance adaptive capacity are limited by knowledge gaps relating to fishing communities' needs and behavior. Tropical Storm Erika (2015) and Hurricane Maria (2017) were the most destructive disasters in Dominica since Hurricane David in 1979. We present findings of a scoping visit to Dominica which examined the impacts of these extreme weather events in coastal communities. Using a framework outlining five key domains of adaptive capacity we identify insights related to the diverse experiences of fishing communities, and the individual, household and institutional capacities that have implications for resilience to future shocks. Understanding the experience of Dominica can inform the development of targeted adaptive capacity-building strategies nationally and in other contexts."
"147",95440420,210,TRUE,FALSE,"Can ``Integrated Multi-Trophic Aquaculture (IMTA){''} adapt to climate change in coastal Bangladesh?","The coastal aquaculture sector in Bangladesh is dominated by export-oriented freshwater prawn and saltwater shrimp farming. However, the culture of prawn and shrimp in coastal Bangladesh has been accompanied by recent concerns over climate change. Different climatic variables, including cyclone, drought, flood, rainfall, salinity, sea level rise, and sea surface temperature have had adverse effects on prawn and shrimp production. Considering vulnerability to the effects of climate change on coastal aquaculture, one of the adaptation strategies is ``Integrated Multi-Trophic Aquaculture (IMTA){''}. Open water IMTA in coastal Bangladesh would be a novel process of growing different finfish and shellfish with seaweeds in an integrated farm. IMTA is considered an ecosystem approach adaptation strategy to climate change which could generate environmental and economic benefits. We suggest institutional support to facilitate IMTA in coastal Bangladesh. (C) 2016 Elsevier Ltd. All rights reserved."
"148",95440421,10826,TRUE,FALSE,"Fishers' perceptions and adaptation on climate change in northeastern Taiwan","The impacts of climate change on Taiwanese marine capture fisheries have been observed in several studies. To help decision makers develop appropriate, fishery-related measures to enhance the resilience or social adaptation capacity to respond to climate change, an analysis of fishers' perceptions and their adaptation is needed. This study selected Keelung City, New Taipei City, and Yilan County as case studies for analyzing fishers' perceptions on climate change in northeastern Taiwan. To meet research objectives, we conducted a questionnaire survey to interview 273 fishers who have experiences of capture fishing. Then, descriptive statistics, factor analysis, and logistic regression were used for empirical analysis. The results indicated that a total of 81\% of respondents might adapt their fishing behavior in response to climate change. The empirical results show that the respondents who recognized the importance of risk controls and the impacts on marine physical environments might change fishing behaviors in response to climate change. Also, the respondents who have substantial experience fishing might adapt their fishing behaviors in response to climate change. Elderly respondents might not adapt their fishing behaviors in response to climate change. Based on the findings, three management recommendations for related policies are offered: (1) a modified incentive program to attract younger labor forces to join the fishing industry; (2) an early-warning or weather information system; and (3) marine resources management measures. The results provide a valid foundation for management agencies of coastal and offshore fisheries under climate change."
"151",95440425,45556,TRUE,FALSE,"Community-identified risks to hunting, fishing, and gathering (harvesting) activities from increased marine shipping activity in Inuit Nunangat, Canada","The rapid increase in marine shipping activity in Inuit Nunangat (i.e. in settled land claim regions of Arctic Canada), propelled by climate change and international interest in Arctic maritime trade, has heightened concerns among Inuit communities about the risks that more ships could pose for sustainable and subsistence hunting, fishing, and gathering (berries, plants, eggs, etc.) (referred to as harvesting in this article) activities considered vital for cultural well-being and local livelihoods. As part of the Arctic Corridors and Northern Voices project, (www.arcticcorridors.ca) a series of workshops, focus groups, and interviews were conducted in and with 14 communities across Inuit Nunangat that involved 133 marine experts and 59 youth community researchers. In this paper, we present the concerns identified by Inuit and local marine users about the risks of increased shipping activity specifically with respect to harvesting activities and then identify governance needs that could support sustainability. Results of the study are organised by three major risk themes: (1) Marine ecosystem contamination and degradation; (2) Disruption to harvesters' travel and safety; and (3) Interference and disturbance of wildlife. All of these risks negatively impact harvesting activities in Inuit Nunangat. Considering the region is expected to be ice-free in summer by the end of the twenty-first century and that subsistence harvesting is crucial to the well-being of Inuit and northern communities, it is vital that research on this topic be conducted and then considered within ongoing Arctic governance and co-governance efforts."
"157",95440431,7123,TRUE,FALSE,"Scepticism and perceived self-efficacy influence fishers' low risk perceptions of climate change","Climate change is impacting fisheries globally, posing both risks and opportunities to those dependent on marine resources. Understanding how fishers perceive climate change, and what factors shape these perceptions, can provide insights into behavioural intentions and support required for climate change focused strategies and management. This study interviewed demersal fishers from a south-west UK fishing port to explore: 1) the future risks fishers identified that may affect their business and wider industry; 2) fishers' beliefs and risk perceptions relating to climate change; and 3) the factors influencing these perceptions. Fishers identified a number of environmental, socio-economic and fisheries governance risks but climate change was rarely mentioned. While fishers overall had low risk perceptions of climate change, these perceptions were heterogeneous across the sample. Climate change scepticism and a high perceived self-efficacy to adapt to climate change were associated with lower risk perceptions. These findings provide new insights into how fishers perceive climate change and, importantly, greater understanding of the possible drivers of such perceptions. Findings suggest that undertaking climate-awareness raising initiatives in isolation to support adaptation strategies could be limited in success. Instead, wider focus should be applied to removing barriers to adaptation, managing wider risks and incorporating fishers into decision making to effectively support and motivate fishers' adaptation."
"161",95440435,7039,TRUE,FALSE,"Adaptation to Aquatic Risks due to Climate Change in Pangnirtung, Nunavut","We use a vulnerability framework to examine how residents of Pangnirtung, Nunavut, perceive the risks of aquatic activities in the context of adaptation to a changing climate. Our findings suggest that community members identify climate change as increasing the risk of many aquatic activities and have adapted some practices accordingly. However, further adaptation to these changing risks is impeded by three main barriers: (1) financial constraints, (2) Inuit resistance to adopting what some consider Euro-Canadian water safety practices, and (3) issues with the design of flotation devices. Participants suggested the following practical changes: (1) make personal flotation devices, lifejackets, and floater suits available to all residents at local stores at a subsidized rate, or provide them free of charge through the community; (2) create water safety promotional items that feature locally developed messages in both Inuktitut and English; (3) include traditional knowledge in water safety campaigns; and (4) use the local pool to train residents in water safety. These changes would not only help residents adapt to changing risks, but also help incorporate climate considerations into policies and programs."
"163",95440437,237118,TRUE,FALSE,"Limits and barriers to adaptation to climate variability and change in Bangladeshi coastal fishing communities","Limits and barriers to adaptation restrict people's ability to address the negative impacts of climate change or manage risks in a way that maximises their wellbeing. There is a lack of evidence of this on small-scale fishing communities in developing countries. This study identifies and characterises limits and barriers to adaptation of fishing activities to cyclones and examines interactions between them in two fishing communities in Bangladesh, using household questionnaires, oral history interviews, vulnerability matrices and focus group discussions. The limits include physical characteristics of climate and sea like higher frequency and duration of cyclones, and hidden, sandbars. Barriers include technologically poor boats, inaccurate weather forecast, poor radio signal, lack of access to credit, low incomes, underestimation of cyclone occurrence, coercion of fishermen by the boat owners and captains, lack of education, skills and livelihood alternatives, unfavourable credit schemes, lack of enforcement of fishing regulations and maritime laws, and lack of access to fish markets. These local and wider scale factors interact in complex ways and constrain completion of fishing trips, coping with cyclones at sea, safe return of boats from sea, timely responses to cyclones and livelihood diversification. The findings indicate a need for further detailed research into the determinants and implications of such limits and barriers, in order to move towards an improved characterisation of adaptation and to identify most suitable means to overcome the limits and barriers. (C) 2013 The Authors. Published by Elsevier Ltd. All rights reserved."
"165",95440439,216,TRUE,FALSE,"An integrated approach to assess coastal vulnerability versus fisheries livelihood sustainability: Strategies for climate change adaptation in Sindhudurg, west coast of India","Global warming-induced climate change affects the coastal regions diversely leading to warmer oceans, rise in sea level, aggravating storm patterns, inundations, increasing precipitations and salinization. This study focusses to explore the livelihood as well as the vulnerability status of the marine fishing spatial units in Sindhudurg Coastal and Marine Ecosystem (SCME) area, west coast of India. The focus was to develop a composite index, namely, Sustainable Fisheries Livelihood Index (SFLI) comprising five capitals, which acts as a tool to evaluate the livelihood status of the fishing communities and also a coastal vulnerability (Cumulative Vulnerability Index-CVI) framework from an earlier assessment was used. The livelihood and vulnerability indices were integrated to arrive at a decision-making matrix to identify and propose suitable interventions for appropriate climate adaptation strategies and achieving sustainable fisheries livelihood. In the present study, SCME was found to have a low SFLI value (0.36). Among the three taluks in SCME, Malvan taluk had comparatively higher SFLI (0.46) than Vengurla (0.34) and Devgad (0.29) taluks. Based on cumulative vulnerability indices, the majority of marine fishing spatial units (i.e. 58.3\% after combining high and very high CVI ranges) in SCME were found to face severe vulnerability. These spatial units, plotted using CVI versus SFLI in the four quadrants of decision matrix, were analyzed for management interventions with strategies aimed at reducing the vulnerability and improve the adaptive capacity of fishing communities to achieve sustainable livelihoods. Spatial units in Quadrant IV were preferred to have focused climate change adaptation strategies to minimize vulnerability as well as to improve the fisheries livelihood sustainability by enhancing the access to livelihood capital assets. Spatial units in Quadrant I might serve as model units to demonstrate the vulnerability mitigation interventions to achieve stability and sustainability of livelihoods. Appropriate interventions for climate change adaptation such as diversification of fishing, selection of appropriate fishing gears, regulation of fishing effort, diversification of livelihoods and adoption of ecosystem approach to fisheries management (EAFM) have been discussed."
