"label","article id","title","adriencomte.pro","deviveytia","matches"
"ref_018",95357990,"Perceptions of Resilience in Fishery-Dependent Bahamian Communities Following a Category 4 Hurricane","true","true","Perceptions of Resilience in Fishery-Dependent Bahamian Communities Following a Category 4 Hurricane"
"ref_019",95357991,"Caribbean Small-Scale Fishers’ Strategies for Extreme Weather Events: Lessons for Adaptive Capacity from the Dominican Republic and Belize","true","true","Caribbean Small-Scale Fishers’ Strategies for Extreme Weather Events: Lessons for Adaptive Capacity from the Dominican Republic and Belize"
"ref_020",95357992,"Empowering Small-Scale, Community-Based Fisheries through a Food Systems Framework","true","true","Empowering Small-Scale, Community-Based Fisheries through a Food Systems Framework"
"ref_021",95357993,"Fishing, Farming and Factories: Adaptive Development in Coastal Cambodia","true","true","Fishing, Farming and Factories: Adaptive Development in Coastal Cambodia"
"ref_022",95357994,"Inherent Resilience, Major Marine Environmental Change and Revitalisation of Coastal Communities in Soma, Fukushima Prefecture, Japan","true","true","Inherent Resilience, Major Marine Environmental Change and Revitalisation of Coastal Communities in Soma, Fukushima Prefecture, Japan"
"ref_023",95357995,"A Bright Spot Analysis of Inland Recreational Fisheries in the Face of Climate Change: Learning about Adaptation from Small Successes","false","false","A Bright Spot Analysis of Inland Recreational Fisheries in the Face of Climate Change: Learning about Adaptation from Small Successes"
"ref_024",95357996,"Climate Change Stressors and Social-Ecological Factors Mediating Access to Subsistence Resources in Arctic Alaska","true","true","Climate Change Stressors and Social-Ecological Factors Mediating Access to Subsistence Resources in Arctic Alaska"
"ref_025",95357997,"Framework Agreement on Fisheries between the United Kingdom of Great Britain and Northern Ireland and the Kingdom of Norway","false","false","Framework Agreement on Fisheries between the United Kingdom of Great Britain and Northern Ireland and the Kingdom of Norway"
"ref_026",95357998,"The Impact of Climate Change Adaptation Strategies on Income and Food Security: Empirical Evidence from Small-Scale Fishers in Indonesia","true","true","The Impact of Climate Change Adaptation Strategies on Income and Food Security: Empirical Evidence from Small-Scale Fishers in Indonesia"
"ref_027",95357999,"Moving up or Going under? Differential Livelihood Trajectories in Coastal Communities in Vietnam","true","true","Moving up or Going under? Differential Livelihood Trajectories in Coastal Communities in Vietnam"
"ref_028",95358000,"Multilevel Resilience of Fishing Communities of Coastal Bangladesh Against Covid-19 Pandemic and 65-Day Fishing Ban","false","false","Multilevel Resilience of Fishing Communities of Coastal Bangladesh Against Covid-19 Pandemic and 65-Day Fishing Ban"
"ref_029",95358001,"Prioritising Well-Being and Resilience to ‘build Back Better’: Insights from a Dominican Small-Scale Fishing Community","true","true","Prioritising Well-Being and Resilience to ‘build Back Better’: Insights from a Dominican Small-Scale Fishing Community"
"ref_030",95358002,"Rural Households’ Food Security and Its Determinants in Coastal Regions of Bangladesh","true","true","Rural Households’ Food Security and Its Determinants in Coastal Regions of Bangladesh"
"ref_031",95358003,"Vulnerability Assessment Based on Household Views from the Dammar Char in Southeastern Bangladesh","true","true","Vulnerability Assessment Based on Household Views from the Dammar Char in Southeastern Bangladesh"
"ref_032",95440301,"Climate change perceptions, impacts and adaptation practices of fishers in southeast Bangladesh coast","true","true","Climate change perceptions, impacts and adaptation practices of fishers in southeast Bangladesh coast"
"ref_033",95440302,"Comparing vulnerability and adaptive capacity to climate change in individuals of coastal Dominican Republic","false","true","Comparing vulnerability and adaptive capacity to climate change in individuals of coastal Dominican Republic"
"ref_034",95440303,"Climate change and livelihood resilience capacities in the Mekong Delta: a case study on the transition to rice-shrimp farming in Vietnam's Kien Giang Province","true","true","Climate change and livelihood resilience capacities in the Mekong Delta: a case study on the transition to rice-shrimp farming in Vietnam's Kien Giang Province"
"ref_035",95440304,"Climate change impacts and adaptation on Philippine coasts","true","true","Climate change impacts and adaptation on Philippine coasts"
"ref_036",95440305,"A typology of natural resource use for livelihood impact assessments in Nusa Tenggara Barat Province, Indonesia","false","false","A typology of natural resource use for livelihood impact assessments in Nusa Tenggara Barat Province, Indonesia"
"ref_037",95440306,"Adapting to the Inevitable: The Case of Tanbi Wetland National Park, The Gambia","true","true","Adapting to the Inevitable: The Case of Tanbi Wetland National Park, The Gambia"
"ref_038",95440307,"Involvement and roles of stakeholders in Mahakam delta management to support mitigation and adaptation effort of climate change in East Kalimantan","false","false","Involvement and roles of stakeholders in Mahakam delta management to support mitigation and adaptation effort of climate change in East Kalimantan"
"ref_039",95440308,"Evolving governance structures in community-based sandfish mariculture and their interactions with livelihood outcomes: Evidence from the Philippines","false","false","Evolving governance structures in community-based sandfish mariculture and their interactions with livelihood outcomes: Evidence from the Philippines"
"ref_040",95440309,"Adapting livelihoods to the impacts of tin mining in Indonesia: options and constraints","false","false","Adapting livelihoods to the impacts of tin mining in Indonesia: options and constraints"
"ref_041",95440310,"Fishing Industry Perspectives on Sea-Level Rise Risk and Adaptation","true","true","Fishing Industry Perspectives on Sea-Level Rise Risk and Adaptation"
"ref_042",95440311,"Preliminary assessment for coastal climate adaptation and resilience in Kepetingan Hamlet, Sawohan Village, Sidoarjo Regency","false","false","Preliminary assessment for coastal climate adaptation and resilience in Kepetingan Hamlet, Sawohan Village, Sidoarjo Regency"
"ref_043",95440312,"Trends in South Pacific fisheries management","true","true","Trends in South Pacific fisheries management"
"ref_044",95440313,"Assessing South Africa's Potential to Address Climate Change Impacts and Adaptation in the Fisheries Sector","true","true","Assessing South Africa's Potential to Address Climate Change Impacts and Adaptation in the Fisheries Sector"
"ref_045",95440314,"Current and future socio-ecological vulnerability and adaptation of artisanal fisheries communities in Peru, the case of the Huaura province","false","false","Current and future socio-ecological vulnerability and adaptation of artisanal fisheries communities in Peru, the case of the Huaura province"
"ref_046",95440315,"Vulnerability assessment of coastal fisher households in Kerala: A climate change perspective","false","false","Vulnerability assessment of coastal fisher households in Kerala: A climate change perspective"
"ref_047",95440316,"Towards Integration of Climate Disaster Risk and Waste Management: A Case Study of Urban and Rural Coastal Communities in the Philippines","false","true","Towards Integration of Climate Disaster Risk and Waste Management: A Case Study of Urban and Rural Coastal Communities in the Philippines"
"ref_048",95440317,"Insight and explore farming adaptation measures to support sustainable development goal 2 in the southwest coastal region of Bangladesh","true","true","Insight and explore farming adaptation measures to support sustainable development goal 2 in the southwest coastal region of Bangladesh"
"ref_049",95440318,"An Oceania Urban Design Agenda Linking Ecosystem Services, Nature-Based Solutions, Traditional Ecological Knowledge and Wellbeing","false","false","An Oceania Urban Design Agenda Linking Ecosystem Services, Nature-Based Solutions, Traditional Ecological Knowledge and Wellbeing"
"ref_050",95440319,"Local practices and production confer resilience to rural Pacific food systems during the COVID-19 pandemic","true","false","Local practices and production confer resilience to rural Pacific food systems during the COVID-19 pandemic"
"ref_051",95440320,"All That Is Solid Melts into the Bay: Anticipatory Ruination and Climate Change Adaptation","true","true","All That Is Solid Melts into the Bay: Anticipatory Ruination and Climate Change Adaptation"
"ref_052",95440321,"A review of adaptation options in fisheries management to support resilience and transition under socio-ecological change","true","false","A review of adaptation options in fisheries management to support resilience and transition under socio-ecological change"
"ref_053",95440322,"Aquaculture Adaptation to Climate Change in Vietnam's Mekong Delta","true","false","Aquaculture Adaptation to Climate Change in Vietnam's Mekong Delta"
"ref_054",95440323,"Sustainable ``Seafood{''} Ecolabeling and Awareness Initiatives in the Context of Inland Fisheries: Increasing Food Security and Protecting Ecosystems","false","false","Sustainable ``Seafood{''} Ecolabeling and Awareness Initiatives in the Context of Inland Fisheries: Increasing Food Security and Protecting Ecosystems"
"ref_055",95440324,"Salt farmer's adaptation strategy facing climate change (case study in Pati Regency)","false","false","Salt farmer's adaptation strategy facing climate change (case study in Pati Regency)"
"ref_056",95440325,"Analysing the variation in farmersâ€™ perceptions of climate change impacts on crop production and adaptation measures across the Gangesâ€™ Tidal Floodplain in Bangladesh","true","true","Analysing the variation in farmersâ€™ perceptions of climate change impacts on crop production and adaptation measures across the Gangesâ€™ Tidal Floodplain in Bangladesh"
"ref_057",95440326,"Empowering small-scale, community-based fisheries through a food systems framework","true","true","Empowering small-scale, community-based fisheries through a food systems framework"
"ref_058",95440327,"Resilience strategies in the face of short- and long-term change: out-migration and fisheries regulation in Alaskan fishing communities","true","false","Resilience strategies in the face of short- and long-term change: out-migration and fisheries regulation in Alaskan fishing communities"
"ref_059",95440328,"Climate Change: Vulnerability and Resilience in Commercial Shrimp Aquaculture in Bangladesh","true","false","Climate Change: Vulnerability and Resilience in Commercial Shrimp Aquaculture in Bangladesh"
"ref_060",95440329,"Fisheries management approaches as platforms for climate change adaptation: Comparing theory and practice in Australian fisheries","true","true","Fisheries management approaches as platforms for climate change adaptation: Comparing theory and practice in Australian fisheries"
"ref_061",95440330,"Using a social-ecological systems perspective to identify context specific actions to build resilience in small scale fisheries in Mexico","true","true","Using a social-ecological systems perspective to identify context specific actions to build resilience in small scale fisheries in Mexico"
"ref_062",95440331,"Crop diversification in southwest coastal Bangladesh: insights into farming adaptation","true","true","Crop diversification in southwest coastal Bangladesh: insights into farming adaptation"
"ref_063",95440332,"Impact of a fishing moratorium on a tuna pole-and-line fishery in eastern Indonesia","false","false","Impact of a fishing moratorium on a tuna pole-and-line fishery in eastern Indonesia"
"ref_064",95440333,"Challenges for the Development of Resilient Coastal Area Program in Timbulsloko Village Sayung District Demak Regency","false","true","Challenges for the Development of Resilient Coastal Area Program in Timbulsloko Village Sayung District Demak Regency"
"ref_065",95440334,"Community perceptions of climate change and ecosystem-based adaptation in the mangrove ecosystem of the Rufiji Delta, Tanzania","true","true","Community perceptions of climate change and ecosystem-based adaptation in the mangrove ecosystem of the Rufiji Delta, Tanzania"
"ref_067",95440336,"Drivers of Adaptive Capacity to Climate Change in Coastal Fishing Communities of Tabasco, Mexico","false","false","Drivers of Adaptive Capacity to Climate Change in Coastal Fishing Communities of Tabasco, Mexico"
"ref_068",95440337,"Indigenous coping and adaptation strategies to climate change of local communities in Tanzania: a review","true","false","Indigenous coping and adaptation strategies to climate change of local communities in Tanzania: a review"
"ref_069",95440338,"Are coastal communities able to pay for the protection of fish resources impacted by climate change?","false","false","Are coastal communities able to pay for the protection of fish resources impacted by climate change?"
"ref_070",95440339,"Awareness of sea-level response under climate change on the coast of Ghana","false","false","Awareness of sea-level response under climate change on the coast of Ghana"
"ref_071",95440340,"Changing storminess and global capture fisheries","false","false","Changing storminess and global capture fisheries"
"ref_072",95440341,"Capital assets underpinning economic well-being - The example of whale ecosystem services in Arctic coastal communities","false","false","Capital assets underpinning economic well-being - The example of whale ecosystem services in Arctic coastal communities"
"ref_073",95440342,"Shifting baselines of disaster mitigation","false","false","Shifting baselines of disaster mitigation"
"ref_074",95440343,"Community-based and co-management institutions for sustainable coastal fisheries management in Southeast Asia","false","false","Community-based and co-management institutions for sustainable coastal fisheries management in Southeast Asia"
"ref_075",95440344,"Potential impacts of climate change on agriculture and fisheries production in 72 tropical coastal communities","false","false","Potential impacts of climate change on agriculture and fisheries production in 72 tropical coastal communities"
"ref_076",95440345,"Climate change adaptation and the African fisheries: evidence from the UNFCCC National Communications","true","true","Climate change adaptation and the African fisheries: evidence from the UNFCCC National Communications"
"ref_077",95440346,"Livelihood Diversification as a Climate Change Coping Strategy Adopted by Small-Scale Fishers of Bangladesh","true","true","Livelihood Diversification as a Climate Change Coping Strategy Adopted by Small-Scale Fishers of Bangladesh"
"ref_079",95440348,"Lagged social-ecological responses to climate and range shifts in fisheries","true","true","Lagged social-ecological responses to climate and range shifts in fisheries"
"ref_080",95440349,"Coastal Poverty, Resource-Dependent Livelihood, Climate Change, and Adaptation: An Empirical Study in Indian Coastal Sunderbans","true","true","Coastal Poverty, Resource-Dependent Livelihood, Climate Change, and Adaptation: An Empirical Study in Indian Coastal Sunderbans"
"ref_081",95440350,"Adaptation strategies of small-scale fisheries within changing market and regulatory conditions in the EU","false","true","Adaptation strategies of small-scale fisheries within changing market and regulatory conditions in the EU"
"ref_082",95440351,"Adapting to Saline Intrusion: Empirical Insights from Two Coastal Areas in the Vietnamese Mekong Delta","true","true","Adapting to Saline Intrusion: Empirical Insights from Two Coastal Areas in the Vietnamese Mekong Delta"
"ref_083",95440352,"A systematic study of climate change impact on fish and fisheries sector in Bangladesh and role of Geospatial science in mitigation","false","false","A systematic study of climate change impact on fish and fisheries sector in Bangladesh and role of Geospatial science in mitigation"
"ref_084",95440353,"Equity in a sea of debt: how better understanding of small-scale fisheries can help reel in sustainable seafood","true","true","Equity in a sea of debt: how better understanding of small-scale fisheries can help reel in sustainable seafood"
"ref_085",95440354,"SALINITY-INDUCED LIVELIHOOD STRESS IN COASTAL REGION OF BANGLADESH","true","false","SALINITY-INDUCED LIVELIHOOD STRESS IN COASTAL REGION OF BANGLADESH"
"ref_086",95440355,"Can Local Institutions Help Sustain Livelihoods in an Era of Fish Declines and Persistent Environmental Change? A Cambodian Case Study","true","true","Can Local Institutions Help Sustain Livelihoods in an Era of Fish Declines and Persistent Environmental Change? A Cambodian Case Study"
"ref_087",95440356,"Migrating to tackle climate variability and change? Insights from coastal fishing communities in Bangladesh","true","true","Migrating to tackle climate variability and change? Insights from coastal fishing communities in Bangladesh"
"ref_088",95440357,"Coastal household adaptation cost requirements to sea level rise impacts","true","true","Coastal household adaptation cost requirements to sea level rise impacts"
"ref_090",95440359,"The Neoliberal Reorganization of the Greenlandic Coastal Greenland Halibut Fishery in an Era of Climate and Governance Change","true","true","The Neoliberal Reorganization of the Greenlandic Coastal Greenland Halibut Fishery in an Era of Climate and Governance Change"
"ref_091",95440360,"Sustainable coasts? Perceptions of change and livelihood vulnerability in Nordland, Norway","true","false","Sustainable coasts? Perceptions of change and livelihood vulnerability in Nordland, Norway"
"ref_092",95440361,"The Landscape of Leadership in Environmental Governance: a Case Study from Solomon Islands","false","false","The Landscape of Leadership in Environmental Governance: a Case Study from Solomon Islands"
"ref_093",95440362,"Sustaining healthy diets in times of change: linking climate hazards, food systems and nutrition security in rural communities of the Fiji Islands","true","false","Sustaining healthy diets in times of change: linking climate hazards, food systems and nutrition security in rural communities of the Fiji Islands"
"ref_094",95440363,"Building blocks for social-ecological transformations: identifying and building on governance successes for small-scale fisheries","true","false","Building blocks for social-ecological transformations: identifying and building on governance successes for small-scale fisheries"
"ref_095",95440364,"Impact of Climate Change and Land Use on Groundwater Salinization in Southern Bangladesh-Implications for Other Asian Deltas","true","false","Impact of Climate Change and Land Use on Groundwater Salinization in Southern Bangladesh-Implications for Other Asian Deltas"
"ref_096",95440365,"Economic Analysis of the Potential Impact Climate Change in Fisheries","true","true","Economic Analysis of the Potential Impact Climate Change in Fisheries"
"ref_097",95440366,"Analysis of Ocean-Space and Sea-Level Rise Policy in Two Coastal Cities","false","false","Analysis of Ocean-Space and Sea-Level Rise Policy in Two Coastal Cities"
"ref_098",95440367,"Assessing countries' social-ecological resilience to shifting marine commercial species","false","false","Assessing countries' social-ecological resilience to shifting marine commercial species"
"ref_099",95440368,"ADAPTATION STRATEGY FOR THE MUNICIPALITY OF LA PAZ, MEXICO: MULTICRITERIA AND COST-BENEFIT ANALYSIS","false","false","ADAPTATION STRATEGY FOR THE MUNICIPALITY OF LA PAZ, MEXICO: MULTICRITERIA AND COST-BENEFIT ANALYSIS"
"ref_100",95440369,"Exploring coastal development scenarios for Zanzibar: A local microcosm inspired Delphi survey","true","false","Exploring coastal development scenarios for Zanzibar: A local microcosm inspired Delphi survey"
"ref_101",95440370,"ECOLOGICAL SITUATION AND PROTECTION OF CHINA'S COASTAL AREAS","false","false","ECOLOGICAL SITUATION AND PROTECTION OF CHINA'S COASTAL AREAS"
"ref_102",95440371,"Coping with climate variability and non-climate stressors in the West African Oyster (Crassostrea tulipa) fishery in coastal Ghana","true","true","Coping with climate variability and non-climate stressors in the West African Oyster (Crassostrea tulipa) fishery in coastal Ghana"
"ref_103",95440372,"Threatening ""white gold"": Impacts of climate change on shrimp farming in coastal Bangladesh","false","false","Threatening ""white gold"": Impacts of climate change on shrimp farming in coastal Bangladesh"
"ref_104",95440373,"An Assessment of How Australian Fisheries Management Plans Account for Climate Change Impacts","true","true","An Assessment of How Australian Fisheries Management Plans Account for Climate Change Impacts"
"ref_105",95440374,"Transnational Municipal Networks as a Mechanism for Marine Governance Toward Climate Change Adaptation and Mitigation: Between Potential and Practice","true","true","Transnational Municipal Networks as a Mechanism for Marine Governance Toward Climate Change Adaptation and Mitigation: Between Potential and Practice"
"ref_106",95440375,"Impact of Tropical Cyclone Winston on women mud crab fishers in Fiji","false","true","Impact of Tropical Cyclone Winston on women mud crab fishers in Fiji"
"ref_107",95440376,"Sea Change: Using Citizen Science to Inform Fisheries Management","false","false","Sea Change: Using Citizen Science to Inform Fisheries Management"
"ref_108",95440377,"Climate adaptation in the market squid fishery: fishermen responses to past variability associated with El Nino Southern Oscillation cycles inform our understanding of adaptive capacity in the face of future climate change","true","true","Climate adaptation in the market squid fishery: fishermen responses to past variability associated with El Nino Southern Oscillation cycles inform our understanding of adaptive capacity in the face of future climate change"
"ref_109",95440378,"Assessment of Social Vulnerability to Climate Change and Its Disaster Prevention in Pingtung County","false","false","Assessment of Social Vulnerability to Climate Change and Its Disaster Prevention in Pingtung County"
"ref_110",95440379,"A comparative study between mainland and islander small-scale fishermen's adaptation towards climate change","true","false","A comparative study between mainland and islander small-scale fishermen's adaptation towards climate change"
"ref_111",95440380,"Attitudes and perceptions of villagers toward community-based mariculture in Minahasa, North Sulawesi, Indonesia","false","false","Attitudes and perceptions of villagers toward community-based mariculture in Minahasa, North Sulawesi, Indonesia"
"ref_112",95440381,"In-Situ Adaptation and Coastal Vulnerabilities in Ghana and Tanzania","true","true","In-Situ Adaptation and Coastal Vulnerabilities in Ghana and Tanzania"
"ref_113",95440382,"Collaboration a solution for small island developing states to address food security and economic development in the face of climate change","true","true","Collaboration a solution for small island developing states to address food security and economic development in the face of climate change"
"ref_114",95440383,"Small Scale Fisheries Management: Lessons from Cockle Harvesters in Nicaragua and Tanzania","false","false","Small Scale Fisheries Management: Lessons from Cockle Harvesters in Nicaragua and Tanzania"
"ref_115",95440384,"Estimating costs of adaptation to climate change","true","false","Estimating costs of adaptation to climate change"
"ref_116",95440385,"Climate Change Impacts on a Tropical Fishery Ecosystem: Implications and Societal Responses","true","true","Climate Change Impacts on a Tropical Fishery Ecosystem: Implications and Societal Responses"
"ref_117",95440386,"Vulnerability index and climate change: An analysis in Cuddalore District of Tamil Nadu, India","false","false","Vulnerability index and climate change: An analysis in Cuddalore District of Tamil Nadu, India"
"ref_118",95440387,"Coping Strategies to Deal with Environmental Variability and Extreme Climatic Events in the Peruvian Anchovy Fishery","true","true","Coping Strategies to Deal with Environmental Variability and Extreme Climatic Events in the Peruvian Anchovy Fishery"
"ref_119",95440388,"Stewardship and Sustainable Practices in Small-Scale Fisheries","true","false","Stewardship and Sustainable Practices in Small-Scale Fisheries"
"ref_120",95440389,"Social and economic challenges to community-based sea cucumber mariculture development in New Ireland Province, Papua New Guinea","false","false","Social and economic challenges to community-based sea cucumber mariculture development in New Ireland Province, Papua New Guinea"
"ref_121",95440390,"Adaptation to climate-change effects on fisheries in the Shiretoko World Natural Heritage area, Japan","false","false","Adaptation to climate-change effects on fisheries in the Shiretoko World Natural Heritage area, Japan"
"ref_122",95440391,"Emerging response options and scenarios of slow onset events related to climate change in Southeast Asia","false","false","Emerging response options and scenarios of slow onset events related to climate change in Southeast Asia"
"ref_123",95440392,"Social perceptions of coastal hazards in the Anlo Beach Community in the Western Region of Ghana","false","false","Social perceptions of coastal hazards in the Anlo Beach Community in the Western Region of Ghana"
"ref_124",95440393,"``Disasters threaten livelihoods, and people cope, adapt and make transformational changes{''}: Community resilience and livelihoods reconstruction in coastal communities of Bangladesh","true","true","``Disasters threaten livelihoods, and people cope, adapt and make transformational changes{''}: Community resilience and livelihoods reconstruction in coastal communities of Bangladesh"
"ref_125",95440394,"Southward re-distribution of tropical tuna fisheries activity can be explained by technological and management change","true","true","Southward re-distribution of tropical tuna fisheries activity can be explained by technological and management change"
"ref_126",95440395,"Climate change vulnerability and adaptation in resource dependent communities: a case study from West Greenland","true","true","Climate change vulnerability and adaptation in resource dependent communities: a case study from West Greenland"
"ref_127",95440396,"Sustainable development of climate-resilient aquaculture and culture-based fisheries through adaptation of abiotic stresses: a review","false","false","Sustainable development of climate-resilient aquaculture and culture-based fisheries through adaptation of abiotic stresses: a review"
"ref_128",95440397,"Sustainable Livelihood for Displaced Rohingyas and Their Resilience at Bhashan Char in Bangladesh","true","false","Sustainable Livelihood for Displaced Rohingyas and Their Resilience at Bhashan Char in Bangladesh"
"ref_129",95440398,"Tourism-Based Alternative Livelihoods for Small Island Communities Transitioning towards a Blue Economy","true","false","Tourism-Based Alternative Livelihoods for Small Island Communities Transitioning towards a Blue Economy"
"ref_130",95440399,"Coastal livelihood vulnerability to marine resource degradation: A review of the Indonesian national coastal and marine policy framework","true","false","Coastal livelihood vulnerability to marine resource degradation: A review of the Indonesian national coastal and marine policy framework"
"ref_132",95440401,"Institutions and institutional changes: aquatic food production in Central Luzon, Philippines","true","true","Institutions and institutional changes: aquatic food production in Central Luzon, Philippines"
"ref_133",95440402,"Rehabilitating coastal agriculture and aquaculture after inundation events: Spatial analysis of livelihood recovery in post-tsunami Aceh, Indonesia","true","false","Rehabilitating coastal agriculture and aquaculture after inundation events: Spatial analysis of livelihood recovery in post-tsunami Aceh, Indonesia"
"ref_134",95440403,"European policies and legislation targeting ocean acidification in european waters - Current state","true","false","European policies and legislation targeting ocean acidification in european waters - Current state"
"ref_135",95440404,"Integrating property rights into fisheries management: The case of Belize's journey to managed access","false","false","Integrating property rights into fisheries management: The case of Belize's journey to managed access"
"ref_136",95440405,"Shoreline change and community-based climate change adaptation: Lessons learnt from Brebes Regency, Indonesia","false","false","Shoreline change and community-based climate change adaptation: Lessons learnt from Brebes Regency, Indonesia"
"ref_137",95440406,"How climate compatible are livelihood adaptation strategies and development programs in rural Indonesia?","true","false","How climate compatible are livelihood adaptation strategies and development programs in rural Indonesia?"
"ref_138",95440407,"Aligning bottom-up initiatives and top-down policies? A comparative analysis of overfishing and coastal governance in Ghana, Tanzania, the Philippines, and Thailand","true","true","Aligning bottom-up initiatives and top-down policies? A comparative analysis of overfishing and coastal governance in Ghana, Tanzania, the Philippines, and Thailand"
"ref_139",95440408,"Perceptions of Marine Environmental Issues by Saudi Citizens","false","false","Perceptions of Marine Environmental Issues by Saudi Citizens"
"ref_140",95440409,"LIVELIHOOD DIVERSIFICATION THROUGH TOURISM: IDENTITY, WELL-BEING, AND POTENTIAL IN RURAL COASTAL COMMUNITIES","true","true","LIVELIHOOD DIVERSIFICATION THROUGH TOURISM: IDENTITY, WELL-BEING, AND POTENTIAL IN RURAL COASTAL COMMUNITIES"
"ref_141",95440410,"The Localization of Actions for Climate Change Adaptation: A Case Study of Post-Morakot Reconstruction in Coastal Taiwan","true","true","The Localization of Actions for Climate Change Adaptation: A Case Study of Post-Morakot Reconstruction in Coastal Taiwan"
"ref_142",95440411,"Understanding the limitations of current RFMO climate change adaptation strategies: the case of the IATTC and the Eastern Pacific Ocean","true","true","Understanding the limitations of current RFMO climate change adaptation strategies: the case of the IATTC and the Eastern Pacific Ocean"
"ref_143",95440412,"Climate Change Adaptation and Extreme Weather in the Small-Scale Fisheries of Dominica","true","false","Climate Change Adaptation and Extreme Weather in the Small-Scale Fisheries of Dominica"
"ref_144",95440413,"Local perceptions of environmental changes in fishing communities of southwest Madagascar","true","true","Local perceptions of environmental changes in fishing communities of southwest Madagascar"
"ref_145",95440414,"Alaskan wild food harvester information needs and climate adaptation strategies","true","false","Alaskan wild food harvester information needs and climate adaptation strategies"
"ref_146",95440415,"Climate change perception of the dive tourism industry in Koh Tao island, Thailand","false","false","Climate change perception of the dive tourism industry in Koh Tao island, Thailand"
"ref_147",95440416,"LOCAL DIFFERENTIATION AND ADAPTATION TO CLIMATE CHANGE IN COASTAL GHANA","true","true","LOCAL DIFFERENTIATION AND ADAPTATION TO CLIMATE CHANGE IN COASTAL GHANA"
"ref_148",95440417,"Environmental Change and Migration: A Growing Concern","true","true","Environmental Change and Migration: A Growing Concern"
"ref_149",95440418,"Resilience and Social Adaptation to Climate Change Impacts in Small-Scale Fisheries","true","true","Resilience and Social Adaptation to Climate Change Impacts in Small-Scale Fisheries"
"ref_150",95440419,"Integrated Coastal and Estuarine Management in South and Southeast Asia","true","false","Integrated Coastal and Estuarine Management in South and Southeast Asia"
"ref_151",95440420,"Can ``Integrated Multi-Trophic Aquaculture (IMTA){''} adapt to climate change in coastal Bangladesh?","true","false","Can ``Integrated Multi-Trophic Aquaculture (IMTA){''} adapt to climate change in coastal Bangladesh?"
